date_time,location,indicator,value,unit
2021-04-08T02:57:08Z,top,pm2.5,2.4,uq_m3
2021-04-08T02:57:08Z,top,pm10,9.75,uq_m3
2021-04-08T03:02:48Z,top,pm2.5,2.4,uq_m3
2021-04-08T03:02:48Z,top,pm10,12.45,uq_m3
2021-04-08T03:08:28Z,top,pm2.5,4.1,uq_m3
2021-04-08T03:08:28Z,top,pm10,16.25,uq_m3
2021-04-08T03:14:08Z,top,pm2.5,4.95,uq_m3
2021-04-08T03:14:08Z,top,pm10,12.75,uq_m3
2021-04-08T03:19:48Z,top,pm2.5,3.6,uq_m3
2021-04-08T03:19:48Z,top,pm10,13.6,uq_m3
2021-04-08T03:25:29Z,top,pm2.5,4.25,uq_m3
2021-04-08T03:25:29Z,top,pm10,32.25,uq_m3
2021-04-08T03:31:09Z,top,pm2.5,5.6,uq_m3
2021-04-08T03:31:09Z,top,pm10,50.15,uq_m3
2021-04-08T03:36:49Z,top,pm2.5,5.5,uq_m3
2021-04-08T03:36:49Z,top,pm10,45.3,uq_m3
2021-04-08T03:42:29Z,top,pm2.5,8.6,uq_m3
2021-04-08T03:42:29Z,top,pm10,37.85,uq_m3
2021-04-08T03:48:09Z,top,pm2.5,12.1,uq_m3
2021-04-08T03:48:09Z,top,pm10,36.45,uq_m3
2021-04-08T03:53:50Z,top,pm2.5,10.6,uq_m3
2021-04-08T03:53:50Z,top,pm10,39.4,uq_m3
2021-04-08T03:59:30Z,top,pm2.5,12.85,uq_m3
2021-04-08T03:59:30Z,top,pm10,38,uq_m3
2021-04-08T04:05:10Z,top,pm2.5,8.85,uq_m3
2021-04-08T04:05:10Z,top,pm10,34.5,uq_m3
2021-04-08T04:10:50Z,top,pm2.5,5.9,uq_m3
2021-04-08T04:10:50Z,top,pm10,26.6,uq_m3
2021-04-08T04:16:30Z,top,pm2.5,5.5,uq_m3
2021-04-08T04:16:30Z,top,pm10,23,uq_m3
2021-04-08T04:22:10Z,top,pm2.5,5.3,uq_m3
2021-04-08T04:22:10Z,top,pm10,25.6,uq_m3
2021-04-08T04:27:51Z,top,pm2.5,4.6,uq_m3
2021-04-08T04:27:51Z,top,pm10,23.3,uq_m3
2021-04-08T04:33:31Z,top,pm2.5,59.1,uq_m3
2021-04-08T04:33:31Z,top,pm10,121.15,uq_m3
2021-04-08T04:39:11Z,top,pm2.5,305.35,uq_m3
2021-04-08T04:39:11Z,top,pm10,409.6,uq_m3
2021-04-08T04:44:51Z,top,pm2.5,279.25,uq_m3
2021-04-08T04:44:51Z,top,pm10,364.15,uq_m3
2021-04-08T04:50:31Z,top,pm2.5,284.6,uq_m3
